ID,k__Bacteria_0;p__;c__;o__;f__;g__;s__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium_0;s__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium_0;s__,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia_0;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales_0;f__;g__;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_0;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides_0;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_0;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae_0;g__;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_0;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7_0;g__;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter_0;s__,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2_0;f__;g__;s__,k__Bacteria;p__Firmicutes_0;c__;o__;f__;g__;s__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Jeotgalicoccus_0;s__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus_0;s__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus_0;s__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_0;s__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales_0;f__;g__;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__CandidatusArthromitus_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae_0;g__;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus]_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae_0;g__;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]_0;g__;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__Anaerovorax_0;s__,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae_0;g__;s__,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum_0;s__,k__Bacteria;p__Proteobacteria_0;c__;o__;f__;g__;s__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella_0;s__,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila_0;s__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae_0;g__;s__,k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma_0;s__,k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39_0;f__;g__;s__,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia_0;s__
14-0_01_21,-0.6803497639608798,-0.06660910081712446,-0.3074835003233932,0.4779810164768741,1.9783362941352984,-0.6260459863145502,0.3638394522575803,-2.8763451780043976,0.10770191494569814,-0.41190897538000426,0.2828286524785315,0.23072437158720316,0.6583425913101328,-0.10516060289726625,-0.013541725851545117,-0.02315048944812781,-0.00901788778387247,-0.3057621845914056,1.5479584491542944,0.09622886049837992,-0.03872662092995116,-0.02664912120453866,0.4342799629197258,-0.06303055294864841,-0.010101085609753646,-0.018070995088560915,-0.007346049264441573,-0.3044691960605598,-0.031082933581281558,-0.8433312464764884,0.20194669045619124,-0.7185979240698804,0.10192469664653309,0.07890332527901667,-0.31277534125475037,-0.03333401214646792,-0.04172835001636621,1.2281708491807892,-0.3574307058815349,0.35342113040874523,0.369397325483442,-0.1367447289522491,-0.8208203027932078,-0.03687211083455477,-2.0660791623765205
14-0_03_21,-0.15131070997572366,-0.06660910081712446,-0.3074835003233932,-0.10828470766785636,1.1228042511996772,-0.6260459863145502,-1.8429864237742695,-1.6722251953484728,-0.1951490246099088,-0.41190897538000426,-0.6735806098493722,0.19782671487071068,0.7321288054710515,-0.10516060289726625,-0.013541725851545117,-0.02315048944812781,-0.00901788778387247,-1.5729339129944195,-1.2851886627584908,0.7359306668174366,-0.03872662092995116,-0.02664912120453866,0.4084214641948881,0.018027978505539083,-0.010101085609753646,-0.018070995088560915,-0.007346049264441573,-0.3044691960605598,-0.031082933581281558,-0.8433312464764884,0.3173930041686061,0.5285566908112462,0.4552712317557275,0.16845580310863667,-0.31277534125475037,-0.03333401214646792,-0.04172835001636621,-0.3846130075389462,-0.3574307058815349,-1.6509002433738975,0.7908933665045248,-0.1367447289522491,0.22057238236501725,-0.03687211083455477,-0.453295305656785
14-0_05_20,-0.6803497639608798,-0.06660910081712446,-0.3074835003233932,-0.10828470766785636,1.7225479998004587,-0.6260459863145502,-0.1354162476763331,-2.8763451780043976,0.3356853791081653,-0.41190897538000426,0.24462978838340188,0.5387651178643871,-1.250142427568517,-0.10516060289726625,-0.013541725851545117,-0.02315048944812781,-0.00901788778387247,0.22983981229755623,-1.2851886627584908,0.43686945231241975,-0.03872662092995116,-0.02664912120453866,0.24931230327435006,0.05577545776203652,-0.010101085609753646,-0.018070995088560915,-0.8524440892786984,-0.3044691960605598,-0.031082933581281558,0.0743174606863802,-0.23382997106940623,-0.7185979240698804,-8.541140707862827e-05,0.16845580310863667,-0.31277534125475037,-0.03333401214646792,-0.04172835001636621,-0.3846130075389462,-0.3574307058815349,0.5559256326579524,0.07542918430694767,-0.1367447289522491,-0.8208203027932078,-0.03687211083455477,-0.5747174685422478
14-0_06_21,-0.6803497639608798,-0.06660910081712446,-0.3074835003233932,-0.10828470766785636,1.0908564342000615,-0.6260459863145502,-0.5207671290403502,-2.8763451780043976,0.24118737497643483,0.910310319353915,-0.12700307484709183,0.249796348531671,0.16483092040230107,1.3098127450735517,-0.013541725851545117,-0.02315048944812781,-0.00901788778387247,0.5443373826613448,1.0784233171336537,0.6803154808144414,-0.03872662092995116,1.464712572629734,0.7054363821220332,0.5053798623550951,-0.010101085609753646,-0.018070995088560915,0.9926539507355584,-0.3044691960605598,-0.031082933581281558,0.26449518102066655,0.5526573218407651,0.9596168586755189,0.5727057733351765,0.8073329452476881,0.6166435844595424,-0.03333401214646792,-0.04172835001636621,-0.3846130075389462,-0.3574307058815349,-0.1595385495396247,1.103895484248394,-0.1367447289522491,-0.8208203027932078,-0.03687211083455477,-2.0660791623765205
14-0_07_20,-0.6803497639608798,-0.06660910081712446,-0.3074835003233932,-0.10828470766785636,2.034660462174089,-0.6260459863145502,-1.8429864237742695,-1.3200426772371103,0.04527435945447822,-0.41190897538000426,-0.32679880665695116,0.2791060059740271,-1.250142427568517,-0.10516060289726625,-0.013541725851545117,-0.02315048944812781,-0.00901788778387247,-1.5729339129944195,-1.2851886627584908,0.044782796652933665,-0.03872662092995116,-0.02664912120453866,-0.07949027060828054,0.11286262424184151,-0.010101085609753646,-0.018070995088560915,0.29368394639953965,-0.3044691960605598,-0.031082933581281558,-0.8433312464764884,-0.19256847288753087,-0.7185979240698804,-0.13971690555717192,-0.42557226939089954,-0.31277534125475037,-0.03333401214646792,-0.04172835001636621,-0.3846130075389462,-0.3574307058815349,-0.03811638665416195,0.369397325483442,-0.1367447289522491,-0.8208203027932078,-0.03687211083455477,-2.0660791623765205
14-0_09_20,-0.6803497639608798,-0.06660910081712446,-0.3074835003233932,-0.10828470766785636,-1.0264148614557027,-0.6260459863145502,-1.8429864237742695,-2.8763451780043976,-2.2706959860024396,-0.41190897538000426,-2.347272628659131,-2.7191533324496717,-1.250142427568517,-0.10516060289726625,-0.013541725851545117,-0.02315048944812781,-0.00901788778387247,-1.5729339129944195,-1.2851886627584908,-1.4176152012460224,-0.03872662092995116,-0.02664912120453866,-1.326644885489407,-1.1787599029003084,-0.010101085609753646,-0.018070995088560915,-0.8524440892786984,-0.3044691960605598,-0.031082933581281558,-0.8433312464764884,-1.0996126099435142,-0.7185979240698804,-1.3689476087961279,-0.9969500259323955,-0.31277534125475037,-0.03333401214646792,-0.04172835001636621,-0.3846130075389462,-0.3574307058815349,-1.6509002433738975,-1.415932509527325,-0.1367447289522491,-0.8208203027932078,-0.03687211083455477,-2.0660791623765205
14-0_11_20,-0.6803497639608798,-0.06660910081712446,-0.3074835003233932,-0.10828470766785636,0.6811553146422336,-0.6260459863145502,-1.8429864237742695,-2.8763451780043976,-0.7266279416521639,-0.41190897538000426,-0.5168978454655808,-0.1928140550598274,-1.250142427568517,-0.10516060289726625,-0.013541725851545117,-0.02315048944812781,-0.00901788778387247,-0.36881393033849463,0.32759519396124465,-0.3535978964627034,-0.03872662092995116,-0.02664912120453866,-1.326644885489407,-0.8265773847889459,-0.010101085609753646,-0.018070995088560915,-0.8524440892786984,-0.3044691960605598,-0.031082933581281558,-0.8433312464764884,-0.5055705906313999,-0.7185979240698804,-0.7088956704904787,-0.9969500259323955,-0.31277534125475037,-0.03333401214646792,-0.04172835001636621,-0.3846130075389462,-0.3574307058815349,-1.6509002433738975,-1.415932509527325,-0.1367447289522491,-0.8208203027932078,-0.03687211083455477,-2.0660791623765205
14-1_01_21,-0.6803497639608798,-0.06660910081712446,-0.3074835003233932,0.6148189763848818,0.46494683237856993,-0.6260459863145502,-1.8429864237742695,-1.4613718300335796,-0.035167539094890676,-0.41190897538000426,-0.06708222456794899,-0.06981847373752958,0.4126154041130572,-0.10516060289726625,-0.013541725851545117,-0.02315048944812781,-0.00901788778387247,0.49152407623249894,0.037030631975428496,-0.1962776871000061,-0.03872662092995116,-0.02664912120453866,-0.44203830419147677,-0.5187079645946593,-0.010101085609753646,-0.018070995088560915,0.4697752054552209,-0.3044691960605598,-0.031082933581281558,-0.8433312464764884,-0.667073487876592,-0.7185979240698804,-0.06688480769437882,-0.33078817538899924,-0.31277534125475037,-0.03333401214646792,-0.04172835001636621,-0.3846130075389462,-0.3574307058815349,-0.1595385495396247,-1.415932509527325,-0.1367447289522491,-0.8208203027932078,-0.03687211083455477,-2.0660791623765205
14-1_03_21,-0.6803497639608798,-0.06660910081712446,-0.3074835003233932,-0.10828470766785636,1.9035146986288851,-0.6260459863145502,0.3359905235189,-1.8349524928461725,0.5455453139893434,1.3734208596307629,0.5495460682300692,0.6675239515111662,1.094249846116594,-0.10516060289726625,-0.013541725851545117,-0.02315048944812781,-0.00901788778387247,-0.4426001444994133,0.7191327110241519,-0.06828052600748619,-0.03872662092995116,-0.02664912120453866,0.3515698972559922,0.12843040146849116,-0.010101085609753646,-0.018070995088560915,-0.07429283889505478,-0.3044691960605598,-0.031082933581281558,-0.8433312464764884,0.300862198620267,0.43774927679004366,-0.018145996401150943,0.07890332527901667,-0.31277534125475037,-0.03333401214646792,-0.04172835001636621,-0.3846130075389462,-0.3574307058815349,-1.6509002433738975,0.4353258391917502,-0.1367447289522491,-0.8208203027932078,-0.03687211083455477,-0.7438598676426011
14-1_05_20,-0.6803497639608798,-0.06660910081712446,-0.3074835003233932,-0.10828470766785636,1.7147367373960825,-0.6260459863145502,-1.8429864237742695,-2.8763451780043976,0.3259011096240205,-0.41190897538000426,0.22940991334023164,0.5166275378778888,0.16483092040230107,-0.10516060289726625,-0.013541725851545117,-0.02315048944812781,-0.00901788778387247,0.44200643679851714,-1.2851886627584908,0.20319422609477883,-0.03872662092995116,-0.02664912120453866,-0.004425590755487874,-0.16652544648329679,-0.010101085609753646,-0.018070995088560915,0.05064589771324517,-0.3044691960605598,-0.031082933581281558,0.19806143868173673,-0.17964208767075188,-0.7185979240698804,-0.018145996401150943,-0.33078817538899924,-0.31277534125475037,-0.03333401214646792,-0.04172835001636621,-0.3846130075389462,-0.3574307058815349,0.25758477550475234,0.7332866031280549,-0.1367447289522491,-0.8208203027932078,-0.03687211083455477,-2.0660791623765205
