ID,k__Bacteria_0;p__;c__;o__;f__;g__;s__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium_0;s__,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia_0;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales_0;f__;g__;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_0;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__gordonii_0,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_0;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae_0;g__;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__indistinctus_0,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7_0;g__;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter_0;s__,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2_0;f__;g__;s__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__sciuri_0,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_0;s__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales_0;f__;g__;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__CandidatusArthromitus_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae_0;g__;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__gnavus_0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae_0;g__;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae_0;g__;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium;s__methylpentosum_0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus_0;s__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]_0;g__;s__,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum_0;s__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria_0;o__;f__;g__;s__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella_0;s__,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila_0;s__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae_0;g__;s__,k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma_0;s__,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia;s__muciniphila_0
14-0_5-20,-0.751747428254178,-0.06048529626315424,-0.10335359965634705,1.008182935040038,-0.44445473022834636,-0.08263526899468188,-2.946084358423333,0.24210167036306207,-0.7460380624778548,0.2305184517496801,0.5912196517882287,-1.000517090596521,-0.06579087286002516,0.26272134757463994,-0.41448782498600734,0.5573667799340162,-0.049139738093258334,0.35038402983683925,0.20482796661860936,-0.8073070200953146,-0.4345216679301749,0.2578686216496679,-0.43554909940816655,0.04852561121951918,-0.4561416611699173,0.17469531844394348,0.31954441864853644,-0.2387106848339685,-0.0709304056306248,-0.1408151103119889,0.715654965373663,0.2755859159090051,-0.1120897793759883,-0.8481642053960854,-1.2814590244197988
14-0_7-20,-0.751747428254178,-0.06048529626315424,-0.10335359965634705,1.2878395695495701,-0.44445473022834636,-1.7902054450926181,-1.389781857656046,-0.05010986025373043,-0.7460380624778548,-0.3366072650385583,0.33367877021337056,-1.000517090596521,-0.06579087286002516,-1.4854666794315605,-0.41448782498600734,0.20831043102248548,-0.049139738093258334,0.061822674732456145,0.14528318875952656,0.6240567440636727,-0.4345216679301749,-0.8447937202474799,-0.43554909940816655,0.10428084347513719,-0.4561416611699173,-0.013102700144988155,-0.2977555392361628,-0.2387106848339685,-0.0709304056306248,-0.1408151103119889,0.12161294606154865,0.5695540570854994,-0.1120897793759883,-0.8481642053960854,-2.7728207182540716
14-1_5-20,-0.751747428254178,-0.06048529626315424,-0.10335359965634705,0.9999261372580933,-0.44445473022834636,-1.7902054450926181,-2.946084358423333,0.23536828770409368,-0.7460380624778548,0.21499356588885954,0.5710865228354025,0.4144562573742968,-0.06579087286002516,0.4735747128895331,-0.41448782498600734,0.331000596503191,-0.049139738093258334,0.1368873545852488,-0.09592390256650779,0.3066363322115222,-0.4345216679301749,0.44151301859579495,1.055812594426106,0.09099863146693174,-0.4561416611699173,0.1606088571653384,-0.1886110698110947,-0.2387106848339685,-0.0709304056306248,-0.1408151103119889,0.41731410822046294,0.9334433347301123,-0.1120897793759883,-0.8481642053960854,-2.7728207182540716
14-1_7-20,-0.0078102784016359506,-0.06048529626315424,-0.10335359965634705,0.7160577048329747,-0.44445473022834636,-0.08263526899468188,-2.946084358423333,0.4551764956719133,-0.7460380624778548,0.2356646755620342,-0.7472860285746714,0.7476709364096792,-0.06579087286002516,-1.4854666794315605,-0.41448782498600734,1.0314415199542069,-0.049139738093258334,1.3027485061575792,1.0234604227057211,1.3032826902039345,-0.4345216679301749,1.1939588687445366,1.743427847885003,1.045840167872818,1.10016083959737,0.8882037341065383,0.8699836454547526,-0.2387106848339685,-0.0709304056306248,-0.1408151103119889,0.29415892435258023,1.7974828873582491,-0.1120897793759883,-0.8481642053960854,-1.450601423520152
14-2_5-20,-0.751747428254178,-0.06048529626315424,-0.10335359965634705,-0.00934140994349475,-0.44445473022834636,0.16883594722847528,-2.946084358423333,0.14519165735500583,0.8667457942418807,-0.03531914486064669,0.6778777090613801,0.9585243017245724,-0.06579087286002516,-0.5560477537172677,-0.41448782498600734,0.5793885185240414,-0.049139738093258334,0.1368873545852488,0.19922770227461112,-0.8073070200953146,-0.4345216679301749,-0.8447937202474799,-0.43554909940816655,0.15368569965299836,-0.4561416611699173,-0.027580523513610955,0.4482110277760796,-0.2387106848339685,-0.0709304056306248,-0.1408151103119889,-1.4911709106581867,-1.2157757779252676,-0.1120897793759883,-0.8481642053960854,-1.450601423520152
14-2_7-20,-0.751747428254178,-0.06048529626315424,-0.10335359965634705,-0.10412772932169567,-0.44445473022834636,-1.7902054450926181,-1.6238650636894139,-0.6007749096572367,-0.7460380624778548,-0.933023657397733,-0.4102583796391712,-1.000517090596521,-0.06579087286002516,-1.4854666794315605,-0.41448782498600734,-0.49565429686523005,-0.049139738093258334,-1.1853319401486706,-1.0295335441227145,-0.8073070200953146,-0.4345216679301749,0.3593262624084449,-0.43554909940816655,-0.7936079498309987,-0.4561416611699173,-0.8441900257164303,-1.1428535792504195,-0.2387106848339685,-0.0709304056306248,-0.1408151103119889,-1.4911709106581867,-1.2157757779252676,-0.1120897793759883,-0.8481642053960854,-2.7728207182540716
15-0_5-20,-0.751747428254178,-0.06048529626315424,-0.10335359965634705,-1.716911586041431,-0.44445473022834636,-1.7902054450926181,-2.946084358423333,-1.4458729496714935,-0.7460380624778548,-1.7428893209585832,-2.655771047453321,-1.000517090596521,-0.06579087286002516,-1.4854666794315605,-0.41448782498600734,-1.3440054942772086,-0.049139738093258334,-1.1853319401486706,-1.2810047603458719,-0.8073070200953146,-0.4345216679301749,-0.8447937202474799,-0.43554909940816655,-1.0744345594066929,-0.4561416611699173,-1.3213112804360927,-1.1428535792504195,-0.2387106848339685,-0.0709304056306248,-0.1408151103119889,-1.4911709106581867,-1.2157757779252676,-0.1120897793759883,-0.8481642053960854,-2.7728207182540716
15-0_7-20,-0.751747428254178,-0.06048529626315424,-0.10335359965634705,1.3441637375883606,-0.44445473022834636,0.8019713123032485,-1.7419643757674084,0.6856655199618833,1.0392917725329123,0.41875088089790236,0.44148626224009857,0.9817541424430473,2.1131860744331443,1.0277509206363784,1.7027834706697569,0.18443756548090962,-0.049139738093258334,0.5999978948620965,0.6608572867978084,0.6240567440636727,-0.4345216679301749,0.7115087805198074,0.8866701953257528,0.5084548512707503,-0.4561416611699173,0.43961356797304024,0.3756603606274679,-0.2387106848339685,-0.0709304056306248,-0.1408151103119889,0.46787048166290673,-1.2157757779252676,-0.1120897793759883,-0.8481642053960854,-1.2814590244197988
15-1_5-20,-0.751747428254178,1.2617339984707652,0.938039085501878,1.256678037385826,-0.44445473022834636,0.5918115974822501,-1.4547226645890605,0.7568877377217065,1.2130033298432388,0.5792046181728194,-0.3862581032354049,0.8190268449453475,-0.06579087286002516,0.7006417003816449,1.967529217588861,0.20347772742487946,-0.049139738093258334,0.256624897507741,0.725838655843313,0.47144658085751434,-0.4345216679301749,0.40236089463364677,1.2720210766897697,0.5663178318089137,1.2066161705116567,0.46163885282931955,0.2885101849085677,-0.2387106848339685,-0.0709304056306248,-0.1408151103119889,0.5131504631244559,0.5695540570854994,-0.1120897793759883,-0.8481642053960854,-1.160036861534336
15-1_7-20,-0.751747428254178,-0.06048529626315424,-0.10335359965634705,1.1032898734442091,-0.44445473022834636,0.6883610505012251,-1.238514182325397,0.6519047848677897,0.8667457942418807,0.43756674349954805,-0.8362271119114525,0.7848127444142459,-0.06579087286002516,0.6318046162242038,1.5898335487966353,0.2392231188808106,-0.049139738093258334,0.6231041141394408,0.6826904965033502,0.8459054936800291,-0.4345216679301749,1.0725367058590738,1.2720210766897697,0.771227133486039,0.9588316868009007,0.7094233365400757,0.656486970203162,0.8026820003242565,-0.0709304056306248,-0.1408151103119889,0.21639926543974958,0.788545595857375,-0.1120897793759883,-0.8481642053960854,-0.8643356993754217
